repeat,fold,branch,control_set,train_images,test_images,accuracy,balanced_accuracy
13,0,random,7,72,25,0.4,0.36388888888888893
13,1,official,-1,72,25,0.8,0.8347222222222221
13,1,random,0,72,25,0.56,0.6416666666666666
13,1,random,1,72,25,0.6,0.6638888888888889
13,1,random,2,72,25,0.56,0.6013888888888889
13,1,random,3,72,25,0.56,0.6763888888888889
13,1,random,4,72,25,0.48,0.5513888888888889
13,1,random,5,72,25,0.6,0.5888888888888889
13,1,random,6,72,25,0.56,0.6013888888888889
13,1,random,7,72,25,0.48,0.5486111111111112
13,2,official,-1,72,25,0.72,0.6097222222222223
13,2,random,0,72,25,0.52,0.4847222222222222
13,2,random,1,72,25,0.56,0.4986111111111111
13,2,random,2,72,25,0.48,0.5111111111111111
13,2,random,3,72,25,0.52,0.5819444444444444
13,2,random,4,72,25,0.6,0.5916666666666667
13,2,random,5,72,25,0.52,0.5791666666666666
13,2,random,6,72,25,0.36,0.46805555555555556
13,2,random,7,72,25,0.48,0.5138888888888888
13,3,official,-1,75,22,0.7272727272727273,0.7708333333333333
13,3,random,0,75,22,0.4090909090909091,0.4722222222222222
13,3,random,1,75,22,0.5909090909090909,0.5868055555555556
13,3,random,2,75,22,0.45454545454545453,0.4965277777777778
13,3,random,3,75,22,0.5,0.625
13,3,random,4,75,22,0.45454545454545453,0.4409722222222222
13,3,random,5,75,22,0.4090909090909091,0.4201388888888889
13,3,random,6,75,22,0.4090909090909091,0.4722222222222222
13,3,random,7,75,22,0.45454545454545453,0.6006944444444444
14,0,official,-1,72,25,0.8,0.6972222222222222
14,0,random,0,72,25,0.52,0.6166666666666667
14,0,random,1,72,25,0.56,0.5361111111111111
14,0,random,2,72,25,0.28,0.28055555555555556
14,0,random,3,72,25,0.44,0.3888888888888889
14,0,random,4,72,25,0.4,0.36388888888888893
14,0,random,5,72,25,0.48,0.45694444444444443
14,0,random,6,72,25,0.52,0.44166666666666665
14,0,random,7,72,25,0.44,0.39166666666666666
14,1,official,-1,72,25,0.88,0.85
14,1,random,0,72,25,0.52,0.5861111111111111
14,1,random,1,72,25,0.48,0.4180555555555555
14,1,random,2,72,25,0.36,0.30833333333333335
14,1,random,3,72,25,0.4,0.2986111111111111
14,1,random,4,72,25,0.4,0.29583333333333334
14,1,random,5,72,25,0.36,0.2361111111111111
14,1,random,6,72,25,0.48,0.3888888888888889
14,1,random,7,72,25,0.6,0.6638888888888889
14,2,official,-1,72,25,0.68,0.6888888888888889
14,2,random,0,72,25,0.48,0.5291666666666667
