label,repeat,method,split_seed,positive_count,unlabeled_count,train_positive,train_reliable_negative,train_unlabeled,eval_positive,eval_reliable_negative,roc_auc,average_precision,eval_positive_mean_score,unlabeled_mean_score,unlabeled_above_rn95_rate
Buttress,20,nnPU(pi=0.50),20281798,10,30,8,48,24,2,31,0.5967741935483871,0.10555555555555556,0.9805021286010742,0.8447486758232117,0.0
Buttress,21,PN,20282807,10,30,8,48,24,2,33,0.8484848484848485,0.26666666666666666,0.509071946144104,0.4491000473499298,0.08333333333333333
Buttress,21,Ignore,20282807,10,30,8,48,24,2,33,0.8787878787878788,0.26785714285714285,0.5191371440887451,0.5561538934707642,0.8333333333333334
Buttress,21,nnPU(pi=0.10),20282807,10,30,8,48,24,2,33,0.393939393939394,0.06798245614035087,0.8611433506011963,0.21412338316440582,0.0
Buttress,21,nnPU(pi=0.25),20282807,10,30,8,48,24,2,33,0.3484848484848485,0.06439393939393939,0.8957458734512329,0.4085540771484375,0.0
Buttress,21,nnPU(pi=0.50),20282807,10,30,8,48,24,2,33,0.3787878787878788,0.06623931623931624,0.9680612683296204,0.7967174649238586,0.0
Buttress,22,PN,20283816,10,30,8,48,24,2,25,0.62,0.5476190476190477,0.4587439298629761,0.40758010745048523,0.0
Buttress,22,Ignore,20283816,10,30,8,48,24,2,25,0.9600000000000001,0.75,0.5161519050598145,0.5143453478813171,0.25
Buttress,22,nnPU(pi=0.10),20283816,10,30,8,48,24,2,25,0.4,0.09722222222222221,0.49382489919662476,0.20028550922870636,0.0
Buttress,22,nnPU(pi=0.25),20283816,10,30,8,48,24,2,25,0.46,0.11490683229813664,0.6724897623062134,0.39435216784477234,0.0
Buttress,22,nnPU(pi=0.50),20283816,10,30,8,48,24,2,25,0.56,0.2934782608695652,0.9168208837509155,0.798698902130127,0.0
Buttress,23,PN,20284825,10,30,8,48,24,2,31,0.9032258064516129,0.3333333333333333,0.4883649945259094,0.45164909958839417,0.16666666666666666
Buttress,23,Ignore,20284825,10,30,8,48,24,2,31,0.8548387096774194,0.24285714285714285,0.5040653944015503,0.5642418265342712,0.7916666666666666
Buttress,23,nnPU(pi=0.10),20284825,10,30,8,48,24,2,31,0.6451612903225806,0.11805555555555555,0.8795008659362793,0.207583948969841,0.0
Buttress,23,nnPU(pi=0.25),20284825,10,30,8,48,24,2,31,0.6451612903225805,0.11666666666666667,0.9356381893157959,0.47139132022857666,0.0
Buttress,23,nnPU(pi=0.50),20284825,10,30,8,48,24,2,31,0.6612903225806451,0.12222222222222222,0.9830921292304993,0.8621633648872375,0.0
Buttress,24,PN,20285834,10,30,8,48,24,2,32,0.46875,0.09698275862068965,0.429848849773407,0.4197854995727539,0.08333333333333333
Buttress,24,Ignore,20285834,10,30,8,48,24,2,32,0.453125,0.15441176470588236,0.43757164478302,0.5207585692405701,0.3333333333333333
Buttress,24,nnPU(pi=0.10),20285834,10,30,8,48,24,2,32,0.5625,0.16203703703703703,0.6772712469100952,0.17873938381671906,0.0
Buttress,24,nnPU(pi=0.25),20285834,10,30,8,48,24,2,32,0.578125,0.125,0.8757129907608032,0.47848889231681824,0.0
