label,repeat,method,split_seed,positive_count,sampled_count_total,pool_count_total,train_positive,train_reliable_negative,train_sampled,train_full_pool,eval_positive,eval_reliable_negative,sampling_probability_min,sampling_probability_median,sampling_probability_max,ipw_ess,roc_auc,average_precision,eval_positive_mean_score,full_pool_mean_score
Buttress,6,IPW-nnPU,20267672,10,29,986,8,48,24,794,2,37,0.01448002364486456,0.033630482852458954,0.07903637737035751,19.14125633239746,0.9864864864864865,0.8333333333333333,0.9853211045265198,0.5443134307861328
Buttress,6,FullPool-nnPU,20267672,10,29,986,8,48,24,794,2,37,0.01448002364486456,0.033630482852458954,0.07903637737035751,19.14125633239746,0.9189189189189189,0.625,0.9605676531791687,0.38427281379699707
Buttress,7,PN-sampled,20268681,10,29,986,8,48,24,808,2,38,0.01448002364486456,0.033630482852458954,0.07903637737035751,19.215763092041016,0.7105263157894737,0.2934782608695652,0.48353809118270874,0.38818737864494324
Buttress,7,Ignore,20268681,10,29,986,8,48,24,808,2,38,0.01448002364486456,0.033630482852458954,0.07903637737035751,19.215763092041016,0.8947368421052632,0.26666666666666666,0.516105055809021,0.47007426619529724
Buttress,7,nnPU-sampled,20268681,10,29,986,8,48,24,808,2,38,0.01448002364486456,0.033630482852458954,0.07903637737035751,19.215763092041016,0.35526315789473684,0.06036036036036036,0.7373238801956177,0.4877966642379761
Buttress,7,IPW-nnPU,20268681,10,29,986,8,48,24,808,2,38,0.01448002364486456,0.033630482852458954,0.07903637737035751,19.215763092041016,0.5789473684210527,0.19791666666666666,0.8701589107513428,0.4722104072570801
Buttress,7,FullPool-nnPU,20268681,10,29,986,8,48,24,808,2,38,0.01448002364486456,0.033630482852458954,0.07903637737035751,19.215763092041016,0.5,0.08680555555555555,0.8782751560211182,0.46834224462509155
Buttress,8,PN-sampled,20269690,10,29,986,8,48,25,811,2,26,0.01448002364486456,0.03340400382876396,0.07903637737035751,20.134675979614258,0.4423076923076923,0.1607142857142857,0.4103996455669403,0.3800200819969177
Buttress,8,Ignore,20269690,10,29,986,8,48,25,811,2,26,0.01448002364486456,0.03340400382876396,0.07903637737035751,20.134675979614258,0.4423076923076923,0.1607142857142857,0.4147712290287018,0.46437233686447144
Buttress,8,nnPU-sampled,20269690,10,29,986,8,48,25,811,2,26,0.01448002364486456,0.03340400382876396,0.07903637737035751,20.134675979614258,0.5192307692307692,0.28846153846153844,0.8046367168426514,0.4265052378177643
Buttress,8,IPW-nnPU,20269690,10,29,986,8,48,25,811,2,26,0.01448002364486456,0.03340400382876396,0.07903637737035751,20.134675979614258,0.5,0.28703703703703703,0.7357126474380493,0.4770718514919281
Buttress,8,FullPool-nnPU,20269690,10,29,986,8,48,25,811,2,26,0.01448002364486456,0.03340400382876396,0.07903637737035751,20.134675979614258,0.5,0.20512820512820512,0.7744712829589844,0.4336085021495819
Buttress,9,PN-sampled,20270699,10,29,986,8,48,20,792,2,38,0.01448002364486456,0.025501567870378494,0.07903637737035751,16.713991165161133,0.9078947368421053,0.30952380952380953,0.5191372632980347,0.40868693590164185
Buttress,9,Ignore,20270699,10,29,986,8,48,20,792,2,38,0.01448002364486456,0.025501567870378494,0.07903637737035751,16.713991165161133,0.9342105263157895,0.3666666666666667,0.5207246541976929,0.48089128732681274
Buttress,9,nnPU-sampled,20270699,10,29,986,8,48,20,792,2,38,0.01448002364486456,0.025501567870378494,0.07903637737035751,16.713991165161133,0.8289473684210527,0.3214285714285714,0.9528778791427612,0.503627598285675
Buttress,9,IPW-nnPU,20270699,10,29,986,8,48,20,792,2,38,0.01448002364486456,0.025501567870378494,0.07903637737035751,16.713991165161133,0.9078947368421053,0.30952380952380953,0.9649220108985901,0.5369725823402405
Buttress,9,FullPool-nnPU,20270699,10,29,986,8,48,20,792,2,38,0.01448002364486456,0.025501567870378494,0.07903637737035751,16.713991165161133,0.6447368421052632,0.14,0.9294142723083496,0.45059096813201904
Buttress,10,PN-sampled,20271708,10,29,986,8,48,24,761,2,29,0.01448002364486456,0.032412342727184296,0.07903637737035751,19.247943878173828,0.8448275862068966,0.24285714285714285,0.52250736951828,0.41094717383384705
Buttress,10,Ignore,20271708,10,29,986,8,48,24,761,2,29,0.01448002364486456,0.032412342727184296,0.07903637737035751,19.247943878173828,0.8793103448275862,0.29166666666666663,0.5107879638671875,0.4744822382926941
Buttress,10,nnPU-sampled,20271708,10,29,986,8,48,24,761,2,29,0.01448002364486456,0.032412342727184296,0.07903637737035751,19.247943878173828,0.5862068965517242,0.10989010989010989,0.9027121067047119,0.44203072786331177
